ROI_Name,Hemisphere,Base_Name,Cortex,Braak 
ctx_lh_bankssts,Left,bankssts,Temporal,V
ctx_lh_caudalanteriorcingulate,Left,caudalanteriorcingulate,Cingulate,IV
ctx_lh_cuneus,Left,cuneus,Occipital,VI
ctx_lh_entorhinal,Left,entorhinal,Temporal,I
ctx_lh_fusiform,Left,fusiform,Temporal,III
ctx_lh_inferiorparietal,Left,inferiorparietal,Parietal,V
ctx_lh_inferiortemporal,Left,inferiortemporal,Temporal,IV
ctx_lh_insula,Left,insula,Insula,IV
ctx_lh_isthmuscingulate,Left,isthmuscingulate,Cingulate,IV
ctx_lh_lateraloccipital,Left,lateraloccipital,Occipital,V
ctx_lh_lingual,Left,lingual,Occipital,III
ctx_lh_middletemporal,Left,middletemporal,Temporal,IV
ctx_lh_paracentral,Left,paracentral,Frontal,VI
ctx_lh_parahippocampal,Left,parahippocampal,Temporal,III
ctx_lh_pericalcarine,Left,pericalcarine,Occipital,VI
ctx_lh_postcentral,Left,postcentral,Parietal,VI
ctx_lh_posteriorcingulate,Left,posteriorcingulate,Cingulate,IV
ctx_lh_precentral,Left,precentral,Frontal,VI
ctx_lh_precuneus,Left,precuneus,Parietal,V
ctx_lh_rostralanteriorcingulate,Left,rostralanteriorcingulate,Cingulate,IV
ctx_lh_superiorfrontal,Left,superiorfrontal,Frontal,V
ctx_lh_superiorparietal,Left,superiorparietal,Parietal,V
ctx_lh_superiortemporal,Left,superiortemporal,Temporal,V
ctx_lh_supramarginal,Left,supramarginal,Parietal,V
ctx_lh_temporalpole,Left,temporalpole,Temporal,IV
ctx_lh_transversetemporal,Left,transversetemporal,Temporal,V
ctx_rh_bankssts,Right,bankssts,Temporal,V
ctx_rh_caudalanteriorcingulate,Right,caudalanteriorcingulate,Cingulate,IV
ctx_rh_cuneus,Right,cuneus,Occipital,VI
ctx_rh_entorhinal,Right,entorhinal,Temporal,I
ctx_rh_fusiform,Right,fusiform,Temporal,III
ctx_rh_inferiorparietal,Right,inferiorparietal,Parietal,V
ctx_rh_inferiortemporal,Right,inferiortemporal,Temporal,IV
ctx_rh_insula,Right,insula,Insula,IV
ctx_rh_isthmuscingulate,Right,isthmuscingulate,Cingulate,IV
ctx_rh_lateraloccipital,Right,lateraloccipital,Occipital,V
ctx_rh_lingual,Right,lingual,Occipital,III
ctx_rh_middletemporal,Right,middletemporal,Temporal,IV
ctx_rh_paracentral,Right,paracentral,Frontal,VI
ctx_rh_parahippocampal,Right,parahippocampal,Temporal,III
ctx_rh_pericalcarine,Right,pericalcarine,Occipital,VI
ctx_rh_postcentral,Right,postcentral,Parietal,VI
ctx_rh_posteriorcingulate,Right,posteriorcingulate,Cingulate,IV
ctx_rh_precentral,Right,precentral,Frontal,VI
ctx_rh_precuneus,Right,precuneus,Parietal,V
ctx_rh_rostralanteriorcingulate,Right,rostralanteriorcingulate,Cingulate,IV
ctx_rh_superiorfrontal,Right,superiorfrontal,Frontal,V
ctx_rh_superiorparietal,Right,superiorparietal,Parietal,V
ctx_rh_superiortemporal,Right,superiortemporal,Temporal,V
ctx_rh_supramarginal,Right,supramarginal,Parietal,V
ctx_rh_temporalpole,Right,temporalpole,Temporal,IV
ctx_rh_transversetemporal,Right,transversetemporal,Temporal,V
left_amygdala,Left,amygdala,Temporal,III
left_hippocampus,Left,hippocampus,Temporal,II
left_middlefr,Left,middlefr,Frontal,V
left_orbitofr,Left,orbitofr,Frontal,V
left_parsfr,Left,parsfr,Frontal,V
right_amygdala,Right,amygdala,Temporal,III
right_hippocampus,Right,hippocampus,Temporal,II
right_middlefr,Right,middlefr,Frontal,V
right_orbitofr,Right,orbitofr,Frontal,V
right_parsfr,Right,parsfr,Frontal,V
