curveNumber,ROI
0,bankssts
1,caudal anterior cingulate
2,caudal middle frontal
3,corpus callosum
4,cuneus
5,entorhinal
6,frontal pole
7,fusiform
8,inferior parietal
9,inferior temporal
10,insula
11,isthmus cingulate
12,lateral occipital
13,lateral orbitofrontal
14,lingual
15,medial orbitofrontal
16,middle temporal
17,paracentral
18,parahippocampal
19,pars opercularis
20,pars orbitalis
21,pars triangularis
22,pericalcarine
23,postcentral
24,posterior cingulate
25,precentral
26,precuneus
27,rostral anterior cingulate
28,rostral middle frontal
29,superior frontal
30,superior parietal
31,superior temporal
32,supramarginal
33,temporal pole
34,transverse temporal
