Cingulate,Frontal,Insula,Occipital,Parietal,Temporal
caudalanteriorcingulate,,insula,cuneus,inferiorparietal,bankssts
isthmuscingulate,paracentral,,lateraloccipital,postcentral,entorhinal
posteriorcingulate,precentral,,lingual,precuneus,fusiform
rostralanteriorcingulate,superiorfrontal,,pericalcarine,superiorparietal,inferiortemporal
,middlefr,,,supramarginal,middletemporal
,orbitofr,,,,parahippocampal
,parsfr,,,,superiortemporal
,,,,,temporalpole
,,,,,transversetemporal
,,,,,amygdala
,,,,,hippocampus
